epoch,step,train_acc,train_loss,val_acc,val_loss
0,15,,,0.15000000596046448,2.2760095596313477
0,15,0.20999999344348907,2.2615253925323486,,
1,31,,,0.14166666567325592,2.258714199066162
1,31,0.3199999928474426,2.1862480640411377,,
2,47,,,0.23333333432674408,2.2364726066589355
2,47,0.3440000116825104,2.146360158920288,,
3,63,,,0.25,2.2154083251953125
3,63,0.3880000114440918,2.1069233417510986,,
4,79,,,0.22499999403953552,2.220698595046997
4,79,0.4180000126361847,2.0811405181884766,,
5,95,,,0.22499999403953552,2.207287311553955
5,95,0.45399999618530273,2.0619678497314453,,
6,111,,,0.2666666805744171,2.1951637268066406
6,111,0.4480000138282776,2.037367582321167,,
7,127,,,0.25,2.1877663135528564
7,127,0.492000013589859,2.01835560798645,,
8,143,,,0.2666666805744171,2.1683897972106934
8,143,0.5,2.014158010482788,,
9,159,,,0.3166666626930237,2.169632911682129
9,159,0.5080000162124634,1.996557354927063,,
10,175,,,0.2750000059604645,2.1593236923217773
10,175,0.5540000200271606,1.969663143157959,,
11,191,,,0.2750000059604645,2.1489782333374023
11,191,0.5619999766349792,1.954138994216919,,
12,207,,,0.2916666567325592,2.134373188018799
12,207,0.5559999942779541,1.940287709236145,,
13,223,,,0.28333333134651184,2.1397898197174072
13,223,0.5979999899864197,1.9174773693084717,,
14,239,,,0.3083333373069763,2.125917673110962
14,239,0.593999981880188,1.9060819149017334,,
15,255,,,0.3083333373069763,2.1262755393981934
15,255,0.6140000224113464,1.8949370384216309,,
16,271,,,0.2750000059604645,2.1292972564697266
16,271,0.5860000252723694,1.8930766582489014,,
17,287,,,0.32499998807907104,2.12090802192688
17,287,0.6039999723434448,1.8815196752548218,,
18,303,,,0.32499998807907104,2.1042380332946777
18,303,0.6380000114440918,1.8521374464035034,,
19,319,,,0.2916666567325592,2.095322370529175
19,319,0.6439999938011169,1.8452409505844116,,
20,335,,,0.2916666567325592,2.1066107749938965
20,335,0.6460000276565552,1.845529556274414,,
21,351,,,0.34166666865348816,2.1067426204681396
21,351,0.6579999923706055,1.8255563974380493,,
22,367,,,0.3166666626930237,2.0916860103607178
22,367,0.656000018119812,1.8294005393981934,,
23,383,,,0.30000001192092896,2.0830724239349365
23,383,0.6420000195503235,1.8242802619934082,,
24,399,,,0.30000001192092896,2.087101936340332
24,399,0.6740000247955322,1.7992194890975952,,
25,415,,,0.3333333432674408,2.0593457221984863
25,415,0.699999988079071,1.786438226699829,,
26,431,,,0.3166666626930237,2.091188907623291
26,431,0.6740000247955322,1.7966759204864502,,
27,447,,,0.3333333432674408,2.082664728164673
27,447,0.7099999785423279,1.7660008668899536,,
