epoch,step,train_acc,train_loss,val_acc,val_loss
0,15,,,0.1666666716337204,2.2723429203033447
0,15,0.1340000033378601,2.290822982788086,,
1,31,,,0.21666666865348816,2.224365711212158
1,31,0.2840000092983246,2.2264676094055176,,
2,47,,,0.20000000298023224,2.192478895187378
2,47,0.35199999809265137,2.1652002334594727,,
3,63,,,0.3583333194255829,2.1527907848358154
3,63,0.4580000042915344,2.1013665199279785,,
4,79,,,0.3583333194255829,2.11446213722229
4,79,0.4480000138282776,2.041790246963501,,
5,95,,,0.3916666805744171,2.082537889480591
5,95,0.550000011920929,1.9860057830810547,,
6,111,,,0.3583333194255829,2.0661849975585938
6,111,0.5460000038146973,1.939577341079712,,
7,127,,,0.375,2.0591073036193848
7,127,0.5799999833106995,1.907551646232605,,
8,143,,,0.38333332538604736,2.046036720275879
8,143,0.5740000009536743,1.869415521621704,,
9,159,,,0.3916666805744171,2.0222902297973633
9,159,0.6480000019073486,1.8316677808761597,,
10,175,,,0.4000000059604645,2.023982524871826
10,175,0.6499999761581421,1.8029948472976685,,
11,191,,,0.4000000059604645,2.020433187484741
11,191,0.6759999990463257,1.7705000638961792,,
12,207,,,0.4166666567325592,2.0016980171203613
12,207,0.7059999704360962,1.74833083152771,,
13,223,,,0.42500001192092896,2.013514518737793
13,223,0.7200000286102295,1.723067045211792,,
14,239,,,0.4166666567325592,1.9992964267730713
14,239,0.7459999918937683,1.7048512697219849,,
15,255,,,0.40833333134651184,2.0108530521392822
15,255,0.7559999823570251,1.6892917156219482,,
16,271,,,0.42500001192092896,1.9966981410980225
16,271,0.765999972820282,1.6735875606536865,,
17,287,,,0.4416666626930237,1.994714379310608
17,287,0.7860000133514404,1.6544424295425415,,
18,303,,,0.42500001192092896,1.9875750541687012
18,303,0.8059999942779541,1.6273691654205322,,
19,319,,,0.44999998807907104,1.9831159114837646
19,319,0.8040000200271606,1.6012576818466187,,
20,335,,,0.4416666626930237,1.9772379398345947
20,335,0.8259999752044678,1.5788229703903198,,
21,351,,,0.4416666626930237,1.9803903102874756
21,351,0.8240000009536743,1.5804277658462524,,
22,367,,,0.44999998807907104,1.9600021839141846
22,367,0.8180000185966492,1.5641447305679321,,
23,383,,,0.42500001192092896,1.9729684591293335
23,383,0.8259999752044678,1.5494294166564941,,
24,399,,,0.4416666626930237,1.9689040184020996
24,399,0.8339999914169312,1.5409722328186035,,
25,415,,,0.4416666626930237,1.9786700010299683
25,415,0.8479999899864197,1.5299363136291504,,
26,431,,,0.4416666626930237,1.9376301765441895
26,431,0.843999981880188,1.5161112546920776,,
27,447,,,0.4583333432674408,1.9447039365768433
27,447,0.8759999871253967,1.4897003173828125,,
28,463,,,0.44999998807907104,1.9438563585281372
28,463,0.8679999709129333,1.4822174310684204,,
29,479,,,0.4583333432674408,1.9454147815704346
29,479,0.8700000047683716,1.4775265455245972,,
30,495,,,0.44999998807907104,1.9186838865280151
30,495,0.8700000047683716,1.475540280342102,,
31,511,,,0.44999998807907104,1.9472014904022217
31,511,0.8799999952316284,1.4663593769073486,,
32,527,,,0.46666666865348816,1.9509484767913818
32,527,0.8600000143051147,1.4549342393875122,,
33,543,,,0.44999998807907104,1.9659912586212158
33,543,0.8980000019073486,1.438583254814148,,
34,559,,,0.44999998807907104,1.9416025876998901
34,559,0.8759999871253967,1.444055199623108,,
35,575,,,0.4583333432674408,1.9653325080871582
35,575,0.8859999775886536,1.4284636974334717,,
36,591,,,0.4583333432674408,1.9330929517745972
36,591,0.9039999842643738,1.4152368307113647,,
37,607,,,0.4583333432674408,1.9356588125228882
37,607,0.9160000085830688,1.3933744430541992,,
38,623,,,0.4583333432674408,1.9369540214538574
38,623,0.9160000085830688,1.3934752941131592,,
39,639,,,0.4416666626930237,1.9351279735565186
39,639,0.9160000085830688,1.3739277124404907,,
40,655,,,0.4583333432674408,1.9307202100753784
40,655,0.9179999828338623,1.3806788921356201,,
