epoch,step,train_acc,train_loss,val_acc,val_loss
0,15,,,0.10000000149011612,2.3048837184906006
0,15,0.08799999952316284,2.3328824043273926,,
1,31,,,0.06666667014360428,2.3055007457733154
1,31,0.0820000022649765,2.3135392665863037,,
2,47,,,0.10833333432674408,2.3026797771453857
2,47,0.10000000149011612,2.3062055110931396,,
3,63,,,0.10000000149011612,2.29976487159729
3,63,0.07800000160932541,2.3040716648101807,,
4,79,,,0.10000000149011612,2.293370008468628
4,79,0.10999999940395355,2.2977495193481445,,
5,95,,,0.18333333730697632,2.2855489253997803
5,95,0.1080000028014183,2.29580020904541,,
6,111,,,0.13333334028720856,2.2742533683776855
6,111,0.11999999731779099,2.277554750442505,,
7,127,,,0.15000000596046448,2.280153751373291
7,127,0.12200000137090683,2.271040201187134,,
8,143,,,0.15000000596046448,2.2872838973999023
8,143,0.1340000033378601,2.2593915462493896,,
9,159,,,0.1666666716337204,2.27783203125
9,159,0.12600000202655792,2.246220588684082,,
10,175,,,0.15833333134651184,2.2695486545562744
10,175,0.11999999731779099,2.249542474746704,,
11,191,,,0.18333333730697632,2.277456760406494
11,191,0.1420000046491623,2.2195992469787598,,
12,207,,,0.17499999701976776,2.2753071784973145
12,207,0.14800000190734863,2.241518974304199,,
13,223,,,0.1666666716337204,2.2942073345184326
13,223,0.17599999904632568,2.203064203262329,,
14,239,,,0.21666666865348816,2.2755537033081055
14,239,0.18799999356269836,2.1633553504943848,,
15,255,,,0.18333333730697632,2.3145265579223633
15,255,0.17800000309944153,2.1536552906036377,,
16,271,,,0.2083333283662796,2.362790107727051
16,271,0.1979999989271164,2.1385183334350586,,
17,287,,,0.15833333134651184,2.3513708114624023
17,287,0.2460000067949295,2.0913450717926025,,
18,303,,,0.15000000596046448,2.3406155109405518
18,303,0.20399999618530273,2.0918452739715576,,
19,319,,,0.1666666716337204,2.3334238529205322
19,319,0.23800000548362732,2.086125373840332,,
20,335,,,0.15000000596046448,2.355811834335327
20,335,0.23600000143051147,2.0710527896881104,,
21,351,,,0.15000000596046448,2.3471014499664307
21,351,0.23999999463558197,2.0721564292907715,,
22,367,,,0.15000000596046448,2.367701292037964
22,367,0.23000000417232513,2.068329334259033,,
23,383,,,0.14166666567325592,2.367500066757202
23,383,0.24199999868869781,2.0653133392333984,,
24,399,,,0.14166666567325592,2.367938756942749
24,399,0.24799999594688416,2.0614216327667236,,
25,415,,,0.14166666567325592,2.3663270473480225
25,415,0.23399999737739563,2.06791090965271,,
