epoch,step,train_acc,train_loss,val_acc,val_loss
0,31,,,0.17499999701976776,2.2758126258850098
0,31,0.16200000047683716,2.2821736335754395,,
1,63,,,0.2666666805744171,2.2593140602111816
1,63,0.2639999985694885,2.2415571212768555,,
2,95,,,0.30000001192092896,2.2496187686920166
2,95,0.2840000092983246,2.2254738807678223,,
3,127,,,0.3333333432674408,2.2460851669311523
3,127,0.37599998712539673,2.1891963481903076,,
4,159,,,0.3333333432674408,2.220649480819702
4,159,0.3319999873638153,2.1770801544189453,,
5,191,,,0.3499999940395355,2.2049834728240967
5,191,0.33000001311302185,2.157439708709717,,
6,223,,,0.34166666865348816,2.1916894912719727
6,223,0.38199999928474426,2.1273343563079834,,
7,255,,,0.34166666865348816,2.1829993724823
7,255,0.3619999885559082,2.115708112716675,,
8,287,,,0.34166666865348816,2.1692841053009033
8,287,0.4099999964237213,2.095673084259033,,
9,319,,,0.28333333134651184,2.145416021347046
9,319,0.38600000739097595,2.0803587436676025,,
10,351,,,0.25,2.1624345779418945
10,351,0.38999998569488525,2.0708043575286865,,
11,383,,,0.24166665971279144,2.1441805362701416
11,383,0.3919999897480011,2.0574963092803955,,
12,415,,,0.28333333134651184,2.130300760269165
12,415,0.4020000100135803,2.0371758937835693,,
13,447,,,0.2750000059604645,2.1281487941741943
13,447,0.4359999895095825,2.0177528858184814,,
14,479,,,0.30000001192092896,2.156073808670044
14,479,0.4860000014305115,2.005234718322754,,
15,511,,,0.25833332538604736,2.142857313156128
15,511,0.46399998664855957,1.9952527284622192,,
16,543,,,0.2916666567325592,2.127699851989746
16,543,0.49000000953674316,1.9782700538635254,,
17,575,,,0.3166666626930237,2.1194565296173096
17,575,0.47200000286102295,1.9736347198486328,,
18,607,,,0.3083333373069763,2.1122004985809326
18,607,0.5,1.9640581607818604,,
19,639,,,0.30000001192092896,2.1289925575256348
19,639,0.47999998927116394,1.955082654953003,,
20,671,,,0.25,2.095757246017456
20,671,0.5139999985694885,1.9347416162490845,,
21,703,,,0.28333333134651184,2.123656749725342
21,703,0.5360000133514404,1.9197778701782227,,
22,735,,,0.2666666805744171,2.1449830532073975
22,735,0.5659999847412109,1.9125118255615234,,
23,767,,,0.19166666269302368,2.164104461669922
23,767,0.5360000133514404,1.9260143041610718,,
24,799,,,0.22499999403953552,2.1311135292053223
24,799,0.527999997138977,1.9046748876571655,,
25,831,,,0.21666666865348816,2.1238818168640137
25,831,0.5699999928474426,1.890411615371704,,
26,863,,,0.21666666865348816,2.1335442066192627
26,863,0.5419999957084656,1.896214485168457,,
27,895,,,0.23333333432674408,2.1267507076263428
27,895,0.5879999995231628,1.8771750926971436,,
28,927,,,0.22499999403953552,2.126591444015503
28,927,0.5979999899864197,1.868247151374817,,
29,959,,,0.2666666805744171,2.114858865737915
29,959,0.621999979019165,1.8571417331695557,,
30,991,,,0.2916666567325592,2.112706422805786
30,991,0.5860000252723694,1.8655747175216675,,
31,1023,,,0.25,2.1200852394104004
31,1023,0.6359999775886536,1.856453776359558,,
32,1055,,,0.2666666805744171,2.1082425117492676
32,1055,0.6119999885559082,1.849579930305481,,
33,1087,,,0.25833332538604736,2.109863042831421
33,1087,0.6140000224113464,1.841009259223938,,
34,1119,,,0.23333333432674408,2.1062440872192383
34,1119,0.6079999804496765,1.8446601629257202,,
35,1151,,,0.25833332538604736,2.1089212894439697
35,1151,0.6179999709129333,1.8514553308486938,,
