epoch,step,train_acc,train_loss,val_acc,val_loss
0,31,,,0.5916666388511658,1.3089932203292847
0,31,0.7459999918937683,0.9084153175354004,,
1,63,,,0.4583333432674408,1.785583257675171
1,63,0.949999988079071,0.23226766288280487,,
2,95,,,0.7250000238418579,1.1027824878692627
2,95,0.9800000190734863,0.13848280906677246,,
3,127,,,0.6916666626930237,0.9645630717277527
3,127,0.9919999837875366,0.06335389614105225,,
4,159,,,0.625,1.6517308950424194
4,159,0.9900000095367432,0.05705671384930611,,
5,191,,,0.6666666865348816,1.2160524129867554
5,191,0.9900000095367432,0.052879419177770615,,
6,223,,,0.28333333134651184,3.3523800373077393
6,223,0.9539999961853027,0.16126997768878937,,
7,255,,,0.5666666626930237,1.2098952531814575
7,255,0.9700000286102295,0.13444094359874725,,
8,287,,,0.6916666626930237,0.9151678085327148
8,287,0.9940000176429749,0.037744056433439255,,
9,319,,,0.6416666507720947,1.5141537189483643
9,319,0.9900000095367432,0.050411712378263474,,
10,351,,,0.75,0.8173486590385437
10,351,0.9879999756813049,0.05587805435061455,,
11,383,,,0.7666666507720947,0.6502795815467834
11,383,1.0,0.013075320050120354,,
12,415,,,0.7666666507720947,0.7128706574440002
12,415,1.0,0.01159908901900053,,
13,447,,,0.7166666388511658,0.9878478646278381
13,447,0.9959999918937683,0.020870281383395195,,
14,479,,,0.6499999761581421,0.988508403301239
14,479,0.9980000257492065,0.014241273514926434,,
15,511,,,0.46666666865348816,3.2092156410217285
15,511,0.9860000014305115,0.052987948060035706,,
16,543,,,0.5166666507720947,1.6679246425628662
16,543,0.9580000042915344,0.17705851793289185,,
17,575,,,0.5416666865348816,1.5852545499801636
17,575,0.9459999799728394,0.18687522411346436,,
18,607,,,0.7250000238418579,0.9969362616539001
18,607,0.9879999756813049,0.0776432603597641,,
19,639,,,0.7166666388511658,0.9602373838424683
19,639,0.9860000014305115,0.044226013123989105,,
20,671,,,0.7416666746139526,0.970918595790863
20,671,0.9919999837875366,0.03018602728843689,,
21,703,,,0.7666666507720947,0.9159262776374817
21,703,1.0,0.013028200715780258,,
22,735,,,0.75,0.9050669074058533
22,735,1.0,0.013867435976862907,,
23,767,,,0.7583333253860474,0.9389791488647461
23,767,1.0,0.012502937577664852,,
24,799,,,0.7833333611488342,0.8764632344245911
24,799,1.0,0.009980054572224617,,
25,831,,,0.7583333253860474,0.9019969701766968
25,831,0.9980000257492065,0.01641116850078106,,
26,863,,,0.7583333253860474,0.9702762365341187
26,863,0.9980000257492065,0.01020943745970726,,
