epoch,step,train_acc,train_loss,val_acc,val_loss
42,1375,0.9079999923706055,0.7102037668228149,,
43,1407,,,0.625,1.2059366703033447
43,1407,0.9160000085830688,0.6893162727355957,,
44,1439,,,0.6499999761581421,1.2037544250488281
44,1439,0.9020000100135803,0.6738085150718689,,
45,1471,,,0.625,1.2053409814834595
45,1471,0.9279999732971191,0.6675695776939392,,
46,1503,,,0.625,1.199180245399475
46,1503,0.9300000071525574,0.659538209438324,,
47,1535,,,0.6583333611488342,1.1823593378067017
47,1535,0.9240000247955322,0.637254536151886,,
48,1567,,,0.6166666746139526,1.1677063703536987
48,1567,0.9100000262260437,0.655425488948822,,
49,1599,,,0.6583333611488342,1.1381686925888062
49,1599,0.9160000085830688,0.6264355182647705,,
50,1631,,,0.625,1.1739434003829956
50,1631,0.9259999990463257,0.6095212697982788,,
51,1663,,,0.6666666865348816,1.1411550045013428
51,1663,0.9319999814033508,0.6106051802635193,,
52,1695,,,0.6416666507720947,1.1324501037597656
52,1695,0.9340000152587891,0.581201434135437,,
53,1727,,,0.6083333492279053,1.1897777318954468
53,1727,0.9520000219345093,0.5738137364387512,,
54,1759,,,0.6499999761581421,1.1265084743499756
54,1759,0.9419999718666077,0.5646486282348633,,
55,1791,,,0.6083333492279053,1.184396743774414
55,1791,0.9480000138282776,0.5786303877830505,,
56,1823,,,0.6666666865348816,1.1312880516052246
56,1823,0.9520000219345093,0.5392252802848816,,
57,1855,,,0.625,1.1397150754928589
57,1855,0.9440000057220459,0.5500687956809998,,
58,1887,,,0.6333333253860474,1.1212470531463623
58,1887,0.949999988079071,0.5469977259635925,,
59,1919,,,0.6416666507720947,1.1298096179962158
59,1919,0.9440000057220459,0.5357280969619751,,
60,1951,,,0.625,1.1123244762420654
60,1951,0.9480000138282776,0.515597403049469,,
61,1983,,,0.6499999761581421,1.1344469785690308
61,1983,0.9520000219345093,0.5126296281814575,,
62,2015,,,0.675000011920929,1.1064765453338623
62,2015,0.9539999961853027,0.4820691645145416,,
63,2047,,,0.6499999761581421,1.0859947204589844
63,2047,0.9459999799728394,0.5145033001899719,,
